x,exact_t0,upwind_t0,quick_t0,exact_t0.5,upwind_t0.5,quick_t0.5,exact_t1,upwind_t1,quick_t1
0.2040000000,0.5463943467,0.5463943467,0.5463943467,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2060000000,0.5251746300,0.5251746300,0.5251746300,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2080000000,0.5036232016,0.5036232016,0.5036232016,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2100000000,0.4817536741,0.4817536741,0.4817536741,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2120000000,0.4595798606,0.4595798606,0.4595798606,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2140000000,0.4371157667,0.4371157667,0.4371157667,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2160000000,0.4143755810,0.4143755810,0.4143755810,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2180000000,0.3913736668,0.3913736668,0.3913736668,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2200000000,0.3681245527,0.3681245527,0.3681245527,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2220000000,0.3446429232,0.3446429232,0.3446429232,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2240000000,0.3209436098,0.3209436098,0.3209436098,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2260000000,0.2970415816,0.2970415816,0.2970415816,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2280000000,0.2729519355,0.2729519355,0.2729519355,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2300000000,0.2486898872,0.2486898872,0.2486898872,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2320000000,0.2242707609,0.2242707609,0.2242707609,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2340000000,0.1997099805,0.1997099805,0.1997099805,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2360000000,0.1750230590,0.1750230590,0.1750230590,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2380000000,0.1502255891,0.1502255891,0.1502255891,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2400000000,0.1253332336,0.1253332336,0.1253332336,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2420000000,0.1003617149,0.1003617149,0.1003617149,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2440000000,0.0753268055,0.0753268055,0.0753268055,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2460000000,0.0502443182,0.0502443182,0.0502443182,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2480000000,0.0251300954,0.0251300954,0.0251300954,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2520000000,-0.0251300954,-0.0251300954,-0.0251300954,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2540000000,-0.0502443182,-0.0502443182,-0.0502443182,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2560000000,-0.0753268055,-0.0753268055,-0.0753268055,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2580000000,-0.1003617149,-0.1003617149,-0.1003617149,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2600000000,-0.1253332336,-0.1253332336,-0.1253332336,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2620000000,-0.1502255891,-0.1502255891,-0.1502255891,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2640000000,-0.1750230590,-0.1750230590,-0.1750230590,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2660000000,-0.1997099805,-0.1997099805,-0.1997099805,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2680000000,-0.2242707609,-0.2242707609,-0.2242707609,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2700000000,-0.2486898872,-0.2486898872,-0.2486898872,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2720000000,-0.2729519355,-0.2729519355,-0.2729519355,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2740000000,-0.2970415816,-0.2970415816,-0.2970415816,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2760000000,-0.3209436098,-0.3209436098,-0.3209436098,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2780000000,-0.3446429232,-0.3446429232,-0.3446429232,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2800000000,-0.3681245527,-0.3681245527,-0.3681245527,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2820000000,-0.3913736668,-0.3913736668,-0.3913736668,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2840000000,-0.4143755810,-0.4143755810,-0.4143755810,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2860000000,-0.4371157667,-0.4371157667,-0.4371157667,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2880000000,-0.4595798606,-0.4595798606,-0.4595798606,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2900000000,-0.4817536741,-0.4817536741,-0.4817536741,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2920000000,-0.5036232016,-0.5036232016,-0.5036232016,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2940000000,-0.5251746300,-0.5251746300,-0.5251746300,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.2960000000,-0.5463943467,-0.5463943467,-0.5463943467,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.2980000000,-0.5672689491,-0.5672689491,-0.5672689491,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3000000000,-0.5877852523,-0.5877852523,-0.5877852523,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.3020000000,-0.6079302977,-0.6079302977,-0.6079302977,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.3040000000,-0.6276913613,-0.6276913613,-0.6276913613,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3060000000,-0.6470559616,-0.6470559616,-0.6470559616,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3080000000,-0.6660118674,-0.6660118674,-0.6660118674,0.0000000000,0.0000000000,-0.0000000001,0.0000000000,0.0000000000,-0.0000000000
0.3100000000,-0.6845471059,-0.6845471059,-0.6845471059,0.0000000000,0.0000000000,-0.0000000001,0.0000000000,0.0000000000,-0.0000000000
0.3120000000,-0.7026499698,-0.7026499698,-0.7026499698,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000
0.3140000000,-0.7203090249,-0.7203090249,-0.7203090249,0.0000000000,0.0000000000,0.0000000002,0.0000000000,0.0000000000,0.0000000000
0.3160000000,-0.7375131174,-0.7375131174,-0.7375131174,0.0000000000,0.0000000000,0.0000000002,0.0000000000,0.0000000000,0.0000000000
